sentiment,vi_review
positive,soái ca ngôn tình một mình
negative,metmoi 😢
negative,kb vs tớ an ủi đêm khóc k 😊
positive,thiên thần vai cánhhh
negative,hk thương đầu đừng khổ . minh trai nhug đàn ông qa tồi tệ . thươg đầu k vay
negative,"💀 gửi e vd overthingking đêm , overthingking"
negative,ko thể ...
negative,t nỗi buồn miệng đời 10 phút :)))
positive,ko ảnh lăng nhỉ . ý nghĩa
negative,đêm ngủ sáng mai dậy 🥺
positive,câu
negative,khổ thiệt
positive,dthw
positive,😁 😁 😅 😅 😅 ôi trời sơn
positive,mún mua
negative,khóc khóc 😥
negative,trước mắt bgio côg . mệt
negative,"thương lắm chúc hạnh phúc , <someone>"
negative,lơi
negative,dao vô hình …
positive,giọng ngọt ngào kiểu giọng nói tướng <someone>
negative,"hi , mấy sức khỏe kém , đi đứng kiểu toàn ngã gái . phép ghế . bye , chúc sóng gió triền miên , đéo yên 1 . cút"
positive,biển kia đứng đấy nhá 😄 😄 😄
negative,99
negative,m yêu mấy thằng vui
positive,😅
positive,vía bé yêu bụng
positive,đẹp 🥰
negative,"sót , cố gắng bn 😥"
positive,yêu đội đi
negative,nợ nầng 🥺
positive,ok . duyệt
positive,<someone>
positive,vin amano goitou nha
positive,"khả năng đừng đi mấy công việc . đi quản lí quản lí , sai sử lí quản lí . tất nhiên việt chèn ép nhân viên khó chịu . đôi lúc sếp ta k lương trình độ , ta lương thái độ . chăm chỉ , , chứng minh đi , nghỉ đồng ý thất bại . thử cố gắng quản lí chứng minh đi . cay cú nghỉ việc đúng ý ta . nghỉ thắng thua ."
negative,tí tởn
positive,mong đất nước phát triển <someone> . mong đc hình bác . iu vn tự hào người dân vn 🥰 🥰
positive,trangg thu
positive,biết ơn anh hùng hi sinh bảo vệ tổ quốc
negative,"mk kìm nén lắm r , hnay mk khóc 1 trận suốt 1 tiếng đồng hồ đầu trống rỗng"
negative,"thiệt ko bn , đánh v ko"
positive,cười đau ruột 2 😁 😁 😁
positive,thế này bảo nghèo lắm : ( nghèo ntn
negative,<someone> cục súc
positive,"trời , cô dâu xinh xỉu trời"
negative,"tệ , nghèo , áp lực , mệt mỏi , cố gắng"
positive,sắc hương trời én nhạn sa.minh phụng đẹp mấy thua vợ ta ...
positive,phúc suốt kéo tóc hòa thôi nha 😂
positive,a tỉnh nhank thía 😂 😂 😂 sợ goy hả 😂 😂 😂
positive,"3 chị em xinh gái , yêu . 😁"
negative,yenluon809 mệt mỏi 😞
positive,mạnh mẽ gắn giỏi lắm
positive,việt nam rực rỡ 🤩
positive,viết
positive,hót vặt 😁 😁 😁
negative,a chi thua e
negative,ad bú đá
negative,chất lượngnhà_làm_đơn_giản88
positive,tuấn thanh lê mún
negative,metmoi ....
negative,im lặng an ủi
negative,khóc
positive,hoàng oanh ng y neh
positive,tuyệt vời . chúc sức khỏe lạc quan
positive,huy happy birthdayyyyyyy ❤ ️
negative,"khó chịu , xoa đầu , nắm , khoác vs khc giới = ( ( 😓"
negative,vy bé 🎀 ko vy 😳
positive,a nhe 🥰 🥰 🥰
positive,tim hộ video video ghim đc xin lỗi
negative,thương gái
positive,vía yêu bụ bẫm iu
negative,vải l
positive,pam dịu dàng chân phương 🤣
positive,vs anh em la ngoai le vs la ngoai lè 👍
positive,xúc động
positive,1 🥰 phước792006
negative,🥺
positive,năm ngoái múa điệu múa
negative,khóc
positive,soe__moe happy birthday to you bro ❤ ❤ ❤ 🎂 🎊
positive,giá 4
positive,lm flop huhu
negative,😞 😞
negative,buồn chán
negative,haiz mệt
negative,áp lực hôm nay kiếm tiền 🤭
negative,cũn 1 miệng đời 👌
negative,khanhduy bui
positive,lắm
positive,sách
negative,hmyhướngnọoii thương emm 🫶
positive,kakaka 😂 😂 😂 . lắm . video hài hước giải trí . 🌟 ✍ ️ 🔃 👈
negative,mett
positive,may mà cưới
negative,miệng im đầu suy nghĩ k ngừng ...
positive,đẹp
negative,2-3 cởi chuồng r
negative,đại diện siria thằng
negative,bây h c xinh đẹp <someone> e hâm mộ c
negative,nản
negative,áp lực mệt mỏi
negative,co gắng nhan giu
negative,"nghèo , may mắn k nợ nần sống thoải mái 😊"
negative,ta sùng phương pháp chánh niệm
negative,xong video tự nhiên khóc 😅
negative,", nghỉ . nghỉ đi êi ."
negative,:))))))))) đm phản bội r văn ct
positive,troi oi
negative,cuộc đời đớn đau con người
positive,dansadboy 🥀
negative,troi oi thuog đi . toi nhan tam day
negative,liệu đc .
negative,🥹
positive,thua 😂
negative,sợ con người : ( (
positive,cưng xỉu
negative,. khóc tụt canxi . xong ráng gượng dậy
negative,á c thương
negative,áp lực
negative,khong đụng chạm ngta ngta chà đạp
negative,trai thiệt nha <someone> 1 đừng rạn nứt hai lỡ thương đời thương chót
positive,meiii 🥑 phinne 🥑 kkk
negative,"chị gái ráng cố gắng đi , e tin đc 🥺"
negative,xảy ngược lại 💔
negative,thất vọng 😕 yêu thương tin tưởng mk đau 🙂
negative,trời mệt mỏi
negative,sáng tạo giới hạnthu_nhập_tại_gia_đình888
positive,salin xinh dữ trời
negative,đi tim chích . tụ máu bầm i chang
positive,🌹 ❤ ️ ❤ ️ 😂 😂 😂 dễ thương ❤ ❤ ❤
negative,mồm ngừng đầu suy nghĩ
positive,xóm dễ thương 🥰
positive,đẹp . 🥰
positive,hu vọng cô dâu chung tình bì lay động phù phím .
positive,mua
negative,khongg yeuu đừng gieo hi vọng : (
negative,"gửi hình tàu lượn , bảo tàu lượn đi"
positive,đi cười lắm
negative,cảnh ngộ e e ck đánh đánh hk
negative,đi mệt mỏi 😂
negative,đau nhắm 😢
positive,🥰 🥰 🥰 đẹp
negative,trang trang đổi người yêu
positive,🫶 🏻 xênh zãi
negative,thất vọng buông
positive,max vitamin c ... :)))
negative,đeo kính thấu lòng 😞
positive,cam on b
positive,3 dễ thương
negative,haizz
positive,mai phạm
negative,:))) lựa chọn r kh hối hận 😌
negative,v ế 😂
negative,điên cmn :))
negative,trống rỗng mệt mỏi
negative,đau
negative,"mệt mỏi , đâyy 😥"
negative,:))) hẹn chiều cổng nói chuyện bố láo quen đi
negative,that su minh rat thatvongg 😞
positive,ebe ovethinking 1 giải thích đc ko 😭 😭 😭
positive,hữu ích
positive,"trang điểm 50 đẹp , t đẹp bt mấy :))"
positive,"quê quá đỗi tự hào , đem nước ngoài “ việt nam tao ”"
negative,😞 😞 😞 bệnh
positive,kính cẩn ngiêng vong linh ahung liệt sỹ 🥺 cháu tự hòa cháu quần áo màu xanh áo lính
negative,lỗii
positive,salim xinh quaaa
negative,ước mơ bs tâm lí tâm lí k kiểm soát 🥺
negative,lắm 😂 😂
negative,"ko , cx ko tin tưởng kể ra"
negative,buồn chết ko gặp mặt thân quen .
positive,💕 k 🙈 🥰
negative,vui tàn .. roii 😌
positive,chết cười sơn 😂 😂
positive,happy birthday to me 18/10
negative,"t nộp đơn qli hãm , 1 ghim thù vặt t đi cửa vô cty , 1 tức đem chửi nv , vin vô cớ tâm trạng chửi . chẳng đung sai , nhắn tin vô group chat k t giao t , t k chửi . k , k tranh luận im lặng nộp đơn ."
negative,thế giới sợ
positive,"ngoại hi sinh mặt trận điện biên phủ , mộ"
positive,xinh qa
positive,🌟 🎧 happy early birthay because i might get banned in tik ☺ ️
negative,lập gia đình cg khóc 1 mh 😢 😢
negative,<someone> mệt 😭
positive,hình bác hồ . hoàn hảo 🥰 . mong hình ảnh
positive,wá đỉnh
negative,hazzz 🤧
negative,vũ phu vứt
positive,hai mặt buồn cười
positive,"dịch 2 , cỏ ko mọc nổi"
negative,đau mik thw khen gái 😔 😞
positive,kang yi 👀 con bé nhảy đẹp tuiiii =))))
positive,bé mít ❤ ️ doi cute a
positive,váy cô dâu xinh
negative,atm đá sống chết kinh vcl ... thủ ổn
positive,haha cưng 🥰 🥰 🥰 🥰
positive,😜 😜 hài thiệt 😝 nh
negative,inter mùa mấy 😅
positive,hải triều
negative,r ☺ ️
negative,mệt 😌
positive,salim đẹp đuyyyy
negative,"khóc thở , ko qt"
negative,😮 ‍ 💨
positive,happy birthday color mini 🥳
negative,suy nghĩ tiêu cực á 😢
positive,t fan 2 pam vs bt kênh thiên ân 🇫 🇷 🇻 🇳 coi thử
positive,gái trông mòn mắt 🥰 salim bé pam xinh yêu
positive,tự hào việt nam 🥰
positive,vía
negative,"im im xong block giải thích lgi , hoang mang"
positive,22 octobre slvp
positive,cười sảng 😂
negative,yep ko thể thoát bóng đen 🥰
positive,c
negative,đánh tan ta
positive,tự hào mảnh đất điện biên quê hương 🥰 🥰 🥰
positive,đep
positive,hồn =))
negative,ng rung động yêu thương ... cúi chữ thw k .
negative,mjh . khóc k bit lí do khóc
negative,má hồn tưởng thương 😳 😳 . ko ân hận lắm 😌
positive,tường vy - ) ) )
positive,eo cưng xỉu ak
positive,happy birthday to you to 🎂 💛 ❤ ️ 💓
negative,"đi , từ bỏ ng đi"
positive,củng sợ
positive,cô dâu xinh lắm
positive,tao mimi èo cutie
negative,té xe :))
negative,tâm lý k may xảy . đời vô thường … .
negative,😔
positive,🤣 🤣 giật mình
negative,t cx k để ý lắm :))
positive,pam dễ thương
negative,lẹ đi tròi 😞
positive,trô mắm ui 😊
positive,cô dâu xinh đẹp 😊
negative,mk ng thưa nc mắt ck nc mắt mk mau mưa .
positive,mặc áo đẹp 🌹 🌹
positive,kkkk chết nội
negative,đau
positive,cúc tiên trần mai nhảy dị ne
positive,còi trưởng thành xinh yeu quaaaa
negative,đi bước nữa giành quyền nuôi ổn tý ....
negative,thương
positive,tây ban nha 3 team 2 team đức 2 team pháp 1 team => >> cực kỳ hấp dẫn kịch tính ae dự đoán cặp tứ kết đi
negative,"1 1 , thân nói chuyện phiến tận khuya"
negative,"t , lương 12 tr ổn đổi sếp , công việc xong cb cv t , ko t đi vòng vòng t ko , bảo lương 12 tr đừng tưởng , nghỉ chủ nhật 7 h nt 1 lèo hoạt động cv tuần , trưa 11 h dt gửi mail công việc , tối nt kiu họp đầu tuần đi 😃 tuần đầu t tuần t dell trl , thu2 bảo a nt e ko rep , sếp lãnh đạo lương lm chủ nhật e :)))"
negative,thằng ad đell đăng 🤡
positive,cưng chời cưng 🥰
negative,buồn
positive,27 điện biên chào đón thăm di tích lịch sử dự lễ kỉ niệm 70 💝
positive,thả thính kiểu t cười chắc ngoác mồm
negative,mà còn bày thấm <someone> :)))
negative,sợ tiêu cực . cố gắng vui vẻ . 🥰
negative,bất lực .. k một chút hy vọng 🥺 🥺
positive,lắm in4 váy cưới k
positive,chào 3 ca sĩ
positive,nhịp điệu mùa xuân
positive,cưng xỉu lun ce
positive,lê thị lệ
negative,hazz
negative,"hối hận ntn : "" chia tay đi .. .. "" khúc trả lời : "" .. khong xứng "" khúc muon níu kéo nhma bồ khoan trả lời r bảo : "" tạm biệt , chúc sống "" xong đi luonn khong xứng chả hối hận đồ . tiêu cực . cục súc ☺ ️ 🤌 ✨ 💦"
positive,cưng xỉu nè ♥ ️ ♥ ️ ♥ ️
positive,", dời đô bề thăng long ta rồng bay . hóa mấy đạo diễn thời đấy biểu diễn"
negative,tự nhiên tủi thân rui khóc . rui lau nước mắt 🥺
negative,cố gắng ... đau đớn xé tim ... a tặng e 2 đứa ... chúc a vui lựa chọn a k hối hận ...
positive,xịn
negative,buông
positive,cá haha
negative,đi
negative,áp lực lắm bme 🥺
positive,kiệt siêu 😎
negative,r 😢
negative,vứt lẹ xong
negative,ms bt 😂
positive,trẻ trung
negative,khong lựa chọn
negative,chấp 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 mấy má
positive,trời tiên tử tuiii
positive,vía e bé yêu khỏe
negative,dừng một chút hướng đi
negative,"hối hận , hối hận trẻ con mik , hối hận cỏn con lỡ"
negative,dao vô hình
negative,🙂 khờ khạo
positive,c1 thằng bản lĩnh thằng thắng
negative,tệ 😁
negative,hy vọng
negative,ㅤyen linhh dc k :))
positive,hà nguyễn
negative,20 t phát hiện ut 🥰 . hụt hẫn 😅
positive,❤ ️ ❤ ️ ❤ ️
negative,"chả tâm sự , nói chuyện khóc 1 🥺"
negative,từ bỏ đi đầu đàn ông buồn khóc
positive,xinh bé
negative,trầntiên nè
negative,gag len chi
negative,người yêu chia tay hôm tui 00 ngủ
positive,bé giật mình kìa
negative,hối hận đc 😳
positive,ne phuc thiet
negative,chê a e
negative,bắn đi nhân j haha
positive,👏 👏 👏 hạnh phúc
positive,pam yêu
positive,sách
positive,ngưỡng mộ 🥰
negative,😭 😭 😭 😭 😭
positive,biết ơn hạnh phúc phút giây sống 😇
negative,chửi r <someone> chóa rì =))
negative,"buồn trống rỗng một mình , im lặng"
negative,sai lầm đừng đổ lỗi 😂
negative,"1 tiếng , 10 tiếng , nàooo"
negative,kinh nghiệm x2 tán gái dạo x2 đi thả thính trai dạo đi host á :))
positive,dễ thương
positive,trang điểm đỉnh
negative,vangg ..
negative,"thương . gái cố gắng hoàn thiện : tài chính , trí tuệ , nhân cách , yêu mượn ko tôn trọng"
positive,ng k tg 🥰 🥰 🥰
positive,happy birthday to me
positive,cố . khâm phục vô cùng 🥰 🥰 🥰 🥰
positive,phụ hồ mấy trăm năm cưới vk xinh dễ thương ntn 🥺
negative,hụt hẫng . cảm giác thế giới
negative,không thể nào <someone> 😂
positive,thư thư lê 🤭
positive,𝓐 . 𝓚𝓲𝓮 ̣ ̂ 𝓽 🫶 🫰 🫥 4 mik iii
positive,ui bé cưng nạ ❤ ️
negative,tiêu cực
negative,điện biên nóng kinh
positive,cưng
negative,ht hue thuong kìa
positive,d_u_n_g ♡ zui nhở
positive,khát khao kết quả 🥰 🥰
negative,quí . thương em 🥰 kết bạn 🥰 làm bạn gái nha 🥰 . khỏe
negative,"xinh vậy chê , đi cuộc đời 🥺"
negative,"thể loại khổ , hạnh phúc"
negative,k hề suy nghĩ giao nhọn đâm sâu ngkhác
positive,ý nghĩa lắm
negative,haizz
positive,màn hình đt mà còn rạo rực . tự hào việt nam ❤
negative,sai lầm sai lầm ok sai lầm
positive,ôi cổ cánh gậy phép thuật nữâaa . cổ nàng tiên 💗
positive,happy birthday god bless 🌹 🌹 🌹
negative,mệt mỏi 😞
negative,chi nghĩ buồn = (
positive,tuyệt vời cố ok 👍
negative,chia tay thấm . mừng
positive,h thả thính =
positive,nguyễn trang nến
positive,1 gương thế giới loài người học tập .
negative,đêm overthinking mất ngủ bật khóc ướt gối 🥺 ám ảnh
negative,chán chẳng cs
positive,🥰 yêu hòa
negative,"chết , lo trai mẹ 🥺"
positive,nét salim dã man
negative,"cb t 3.8 tr t lm 10 tr nè , sắc mặt ta sống , cv dạng bốc vác nhg trí nhớ sức khỏe mấy thùng hàng o nhẹ đau , dai nhớ , kiêm chân sai vặt , chửi , chém thớt 0 , 🙂 t pk đi lm chửi , lm cực , nghỉ đầu o nói xấu , o mích lòng , nhịn 1 chút , lm khả năng , xong ngờ đâu mắt ta t đứa chảnh o thèm nói chuyện , đứa , đứa ... riết t sống , ta t trả lời , cty t gan bật y như rằng : , lm o , biên bản o ... 0 , sức có hạn , sức trâu"
negative,lặt vặt t bật khóc 😇
negative,thương
positive,tổ chức tiệc cưới bn mn
negative,"sinh sứ mệnh trách nhiệm . cố gắng , ."
positive,🥰 yêu đời hẳn
positive,quỳnh xuân kìa 😁 mấy c e rủ lm 😂
positive,2182513889
positive,info áo hòa mặc mng ưi
negative,xin lỗi quá khứ
negative,q_phuowng đừng rủ đi
negative,khóc suy nghĩ vu vơ ngk 💔
negative,"học tập , tiêu cực , , xấu , đau khổ , buồn bã , đau lòng , tồi tệ , lo lắng , trách móc , chán nản , tức giận , đau buồn , thất vọng , ác , đen tối , đau đớn , giận dữ , lo ngại , tuyệt vọng , bực tức"
negative,phailamsao
positive,uiii má elm
negative,hên kịp . chúc mừng phát hiện
negative,m t tồn tại
positive,hoa
positive,cx lm flop
negative,ko kiện
negative,diệp hạ châu
negative,thik bóng chiều tuổi thơ
positive,câu 5 động lực 🥰
negative,hối tiếc chẳng lưu luyến cuộc sống mệt lắm đau lắm k phép
positive,"chủ vid đứng góc đẹp , drone , mn đứng tiếng hò reoo , đẹp"
positive,hài vãi
negative,thúy khuyên e hỏi a hút thuốc
positive,đầu sự kiện . chúc mãi xinh ngoan iu .
positive,<someone>
negative,suyy 😞
negative,nhiều chuyện xảy . k sợ chết . sợ mẹ chết 😌
negative,"7 chồng , học im lặng cô đơn , be gia đình , buồn xe đi dạo"
positive,cố gắng
negative,metmoi lắm 😌
negative,t tus vô lí vc . 😏 😏
positive,tuyệt vời . cố gắng
negative,chạnh lòngg
positive,4 quyển sách
positive,thái nguyên
negative,hối hận đấy quyết định
positive,b.nqocc : > khong bangg 😆
negative,nghèo củng . đừng mắc nợ . mắc nợ khổ lắm 😔
positive,ếnh 🥰
positive,đẹp 🥰
negative,buông
positive,xinh đấy
positive,hòa min zi quan hệ rộng thân thiết ng sb ... hát nhạc
negative,". bế tắc , ngủ 😌"
negative,are you is súc vật i can móc mắt you very tàn bạo you feel i hận you very how
positive,xinh đẹp tuyệt vời
negative,áp lực công việc
positive,trộm vía bé bụi bẩm yêu bụng
positive,"đẹp lịm tim , yêu loài hoa"
negative,quỳnh dạm ni giáo nhỉ
positive,ý nghĩa ... kỹ ...
positive,chữa lành
negative,t nhột
positive,"phụng xinh , chúc 2 trăm năm hp"
negative,oh ... no ....
positive,30 đọc sách
negative,nản
positive,"chào 0 , tố cáo nắm bằng chứng 1 vụ án nghiêm trọng giết , mai tý gia đình đại gia ngành máy chủ mưu ỡ tphcm tổ chức chủ mưu 0 , <someone> quan hệ gia đình đại gia rộng lớn tố cáo thất bại 0 , lãnh đạo tphcm - , công an trung uơngvô điều tra lôi chủ mưu đại gia ánh sáng vi tội ác suốt 5 ko hề nhẹ toàn rơi vô tổ chức nghiêm trọng giết , maty kinh tế , ..... v.v 0 , vô đừong dám làm phiền kêu cứu cư dân mạng giúp đỡ , mong dang cứu giúp . hi vọng tai lãnh đạo chỉ đạo điều tra hi vọng lôi kẻ chủ mưu đám tay sai ánh sáng . 0 , quen biết cô chú , anh chị lãnh đạo giúp vị lãnh đạo ( toàn bộ chứng cớ tội ác lũ ) 0 , nẽu mai mắn đừng inbox điện thoại router vấn đê ko messenger . 1 , nhắn tin vô 0939203500 liền hệ ."
positive,tuyệt con người <someone> .
positive,nguyễn thị khánh hiền
negative,chạy lo cơm áo gạo tiền theo đuổi ước mơ .
positive,thành nek ko e
negative,phí trời 😌 😌 😌
negative,lezi 🦖 - ) ) đúm hum a
positive,dc lắm xuyến ha ha
negative,"đàn ông dậy e , e hạnh phúc nhe e"
positive,nhỡ bảo ah văn vở
negative,có lẽ
negative,"tui đồng quan điểm dat pham , mấy ck chi , tui mấy khổ sướng ... ế cs tử tế"
negative,đi ta đánh im lặng
negative,ko bt khok j nx 😥
positive,phí phạm thoi gian 1
negative,la dao vô hình 😢
negative,cx giới hạn 🙂
negative,ko p lụy e ...... rời e . o thương e nhé . chúc e sáng suốt 🥺
negative,j v
positive,🤣 🤣 🤣 🤣 🤣 yêu .
negative,mệt mỏi bn thân nói xấu lưng 😞
positive,lầy
positive,mẻ cưng trời hà
positive,iu z tr 🥰
positive,huonggiang . chx 🥰 🥰
negative,bn mik mik đc ko bn
positive,lễ hội ánh sáng hà nội 😳
negative,"tiền hạnh phúc , niềm vui cuộc sống 😁"
positive,bú 2 kèo
negative,"đau đớn , gục ngã , mệt mỏi lắm , áp lực , đau đớn , gục ngã , mệt mỏi lắm , áp lực"
negative,áp lực 😢
negative,"cạnh an ủi , 😩 vui buồn chẳng , nhắn tin hỏi han"
positive,tuyệt vời 🥰
positive,cổ xinh
positive,shoppe ko . phí ship
negative,☺
negative,béo tội gì 😞
positive,1 bé dể thương
positive,m câu tết mặt màu đỏ phát tài phát lộc màu đỏ chính tỏ yêu a ☺ ️
negative,yêu đc buông lj
negative,t 😳
negative,mặc dù bt ko mk ko ngkhác
negative,inter đá penalty lon què : d
positive,nonam1997 💕 ngó lệ
negative,đời ..
negative,hồngngọc_2011 🌷 vd nè lưu giùm r gửi t vs nhaa 🥰
positive,"vtv pát lịch sử chiến đấu <someone> quân dân vn . thế hệ trẻ lịch sử , yêu"
positive,vía bé rồng bụ bẫm iu
negative,atm
positive,","
negative,v 😌
negative,fb phá đi
negative,mai đi lớp sợ bây 😍
positive,ꮧꮒꮇꮛꮄ ꮶꭵꮑꮆ 😋 happy birthday to you ✌ ️
negative,""" ta , ta ta """
positive,vtv thời sự online . tivi sập 3 . 😂 😂
negative,"sếp cũ t , t nghỉ việc . 🤡"
negative,r
negative,đo đi oi
negative,ul thươngem
negative,áp lực
positive,ngọ thị thu huyền ❤ ️ chúc gái yêu
negative,ko dám
negative,khog bh khóc mặt ngkhac e 1 đứa nhạy cảm 1 hdong nho gi cx khien đầu nổ tung 🥺
positive,sơn
positive,nha
negative,"trc h kh thành , chả dám ước mơ ."
positive,chúc ac đời hp ☺ ️ ☺ ️ thành tâm xin vía 2024 😊 😊
negative,"xin lỗi xong nịnh , đàn bà 🥰"
positive,tui ko thấm nổi pam
positive,thuong
positive,thành tâm xin vía bé yêu khỏe ngoan ngoãn
positive,đêy cúa xiền e zô mua 🥲
negative,1 ng r
negative,đi 🥰 🥰
negative,từ bỏ
positive,bé cưng 🥰 🥰
positive,thơ tuyệt vời
negative,"xin lỗi nói dối nhóc , đừg giận"
negative,ko xung quanh bồ ế 😢
positive,happy birthday to me
negative,đauuu …
negative,cố gắng e . cs k chân trọng . khổ lắm e .
negative,"hoan hỉ hoan hỉ . 1 trận nghỉ . nhân viên nghỉ đa phần quản lý tồi . đi mang tiếng quản lý đường . thui k xúi j . vs kinh nghiệm năng lực xứng đáng , k tương lai"
negative,gọi mít ướt ...
negative,"buồn , câu 😥"
positive,tuyệt vời 🥰 sức mạnh tồn tại khai phá 🥰
negative,béo a lo 😁
negative,mạnh mẽ 🥺 🥺 🥺
positive,mua nhỉ ❤ ️
negative,"ko rời gd , bây h gd bóng"
negative,nghĩathoi kh buồn
negative,dần quen
negative,rep e
negative,brơ 49 g1 🥲 😙
positive,11 . bàn thờ hương đèn đầy đủ thờ 🤣 🤣
negative,mẹ yêu thương con cái đc nỗi lòng cha mẹ
negative,clm
negative,"miệng tích cực , trời tối sngh tiêu cực , bất lực khóc"
negative,tao giàu
positive,quan la co nhieu money ko roi noi .
positive,tết tết tết 🥰 🥰 🥰
negative,phi lý 😳 😳
negative,đấy <someone> ..
negative,đôi khi học bình tĩnh giải quyết im lặng giải thích ko ☺ ️
positive,happy birthday 🎂 🥳 🎉 🎈 🎁
positive,sách ý nghĩa nè
positive,tr cổ xinh cổ diệuuu keooo
positive,tự hào con cháu lạc hồng
negative,ưa lưng chừng yêu đừng dửng dưng 🤣
positive,<someone> tiêu diệt 🤣
negative,bt
positive,hát . k hát .
positive,xưa
positive,happy birthday to me 😂
positive,hien le hai min nè hai 😂
negative,😔
negative,vô ♥ ️
positive,a nghi lực thật dáng khâm phục
positive,happy birthday to you frend
positive,elm xinh
positive,tuyết ánh cuti vãiiiu
negative,tao . t đánh thằng gấp đôi tao . reo rắc tội lỗi xong thể sống yên dk . hiền chấp nhận bắt nạt
positive,thay thành
negative,mãi sai hành hạ ta
positive,phong tran chúc mừng sn zai
positive,chỗ lạnh nhắm ạ 🥺 🥺
positive,vũ vũ :))))
negative,ths suy nghĩ = ( (
positive,sách ý nghĩa
positive,"ok chị gái , chiều cổng uống cafe , chờ ."
negative,cr đổi 🥺
positive,sách lắm
negative,nhạc
negative,thuong 🥰
positive,ngưỡng mộ ... e video
positive,<someone> chuyên gia khuyên
negative,"chẳg , 😔"
negative,"gái nhỏ bé e chịu đựng tổn thương , tiêu cực 😔 😥"
positive,cảnh đầu chiếu dời đô ý nghĩa
negative,đừng chởi khẩu nghiệp . ăn bãi đờm r đẹp
positive,"1 thằng kinh nghiệm học hỏi , , lười biếng , đùn đẩy trách nhiệm 1 thằng kinh nghiệm làm việc kia , hở 1 làm việc kia cook . ta thái độ trình độ . 1 a đừng hở nghỉ việc phốt phốt nọ nhắc kia , mặc dù ta . đàn ông nhai hoài ta đàn bà chết á 😟"
negative,chữa lành ☺ ️
negative,câu so sánh mik ngta mik buồn 😌 😌 😌
negative,"lựa chọn , sai sai ."
negative,cug v 🥺
positive,chu ngọc ánh vợ ♥ ️ ♥ ️ ♥ ️
negative,đi
positive,mua
positive,lê thị lan dc thế này ko
negative,thời mệt mỏi mấy
positive,nam mô a di đà phật mạnh mẽ chúc may mắn sức khỏe nam mô a di đà phật nam mô dược sư <someone> quang lai
negative,học chấp nhận
positive,gió ko
negative,"đi áp lực lắm , 😥"
